customer_id,full_name,email,signup_date,region
1,Customer 1,customer1@trendzora.com,2023-11-24,North America
2,Customer 2,customer2@trendzora.com,2023-01-13,Asia-Pacific
3,Customer 3,customer3@trendzora.com,2023-05-21,North America
4,Customer 4,customer4@trendzora.com,2023-04-25,North America
5,Customer 5,customer5@trendzora.com,2023-02-22,Asia-Pacific
6,Customer 6,customer6@trendzora.com,2023-10-07,North America
7,Customer 7,customer7@trendzora.com,2023-10-30,Europe
8,Customer 8,customer8@trendzora.com,2023-01-17,North America
9,Customer 9,customer9@trendzora.com,2023-02-17,North America
10,Customer 10,customer10@trendzora.com,2023-04-30,Asia-Pacific
